SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER
RELIANCE, EQ, 05-May-2021,1916.6,1923.35,1938.5,1908.05, 1921.50,1920.1,1923.26,5719649,110003.64,190990, 1762417, 30.81
RELIANCE, EQ, 12-Jan-2021,1897.25,1903.0,1960.0,1899.9, 1955.50,1957.05,1935.51,18996047,367669.89,417387, 8987850, 47.31
RELIANCE, EQ, 12-Nov-2021,2554.55,2562.9,2598.75,2557.0, 2588.00,2593.1,2582.61,4020744,103840.1,149602, 2336224, 58.10
RELIANCE, EQ, 20-Mar-2020,917.7,939.5,1034.9,930.0, 1028.00,1017.95,983.98,28967526,285034.44,589033, 12676996, 43.76
RELIANCE, EQ, 12-Nov-2020,1997.2,1981.0,2008.45,1965.0, 1981.75,1980.0,1987.14,18481466,367252.19,440630, 6746860, 36.51
RELIANCE, EQ, 28-Jun-2021,2104.45,2122.0,2126.5,2081.0, 2089.00,2086.0,2100.31,9357852,196543.8,286857, 4383331, 46.84
RELIANCE, EQ, 05-May-2020,1435.2,1453.7,1479.0,1447.2, 1462.65,1460.65,1464.23,20528706,300586.98,412545, 4924874, 23.99
RELIANCE, EQ, 24-May-2021,2002.55,2008.0,2009.8,1982.0, 1985.05,1985.65,1994.09,3946636,78699.37,130059, 1599399, 40.53
RELIANCE, EQ, 19-Sep-2022,2499.2,2499.2,2522.7,2481.35, 2502.40,2502.45,2506.17,3498286,87673.15,137901, 1678286, 47.97
RELIANCE, EQ, 16-Jul-2021,2082.35,2087.75,2114.75,2087.6, 2110.00,2112.4,2104.6,4074206,85745.69,126660, 1881604, 46.18
RELIANCE, EQ, 20-Dec-2019,1609.95,1615.0,1617.55,1596.1, 1600.00,1599.1,1604.6,9724619,156041.32,164538, 4876789, 50.15
RELIANCE, EQ, 01-Mar-2021,2085.8,2110.2,2112.0,2062.5, 2103.00,2101.7,2092.87,8159670,170771.01,266082, 2970300, 36.40
RELIANCE, EQ, 14-Sep-2021,2371.55,2375.0,2394.0,2366.0, 2370.50,2368.45,2377.55,4111205,97745.84,153291, 2491875, 60.61
RELIANCE, EQ, 09-Jun-2020,1569.5,1560.3,1583.0,1533.0, 1535.90,1537.15,1555.91,11934073,185683.35,307011, 2953746, 24.75
RELIANCE, EQ, 27-Jan-2021,1941.0,1925.0,1925.0,1888.0, 1890.00,1895.0,1904.59,19553809,372419.8,637355, 9587173, 49.03
RELIANCE, EQ, 15-Mar-2021,2137.6,2140.05,2148.9,2080.5, 2105.00,2108.9,2103.37,7706302,162091.9,268696, 3083696, 40.02
RELIANCE, EQ, 02-Jul-2021,2097.95,2097.0,2132.9,2092.95,2131.55,2129.05,2120.31,6500973,137840.75,187794, 3363482, 51.74
RELIANCE, EQ, 23-Jul-2020,2004.0,2003.95,2079.7,1991.35, 2076.00,2057.8,2035.95,26921058,548100.58,498584, 9589647, 35.62
RELIANCE, EQ, 19-Oct-2021,2707.6,2723.8,2751.35,2708.0,2730.8,2731.85,2733.67,4076617,111441.19,203192, 1855378, 45.51
RELIANCE, EQ, 11-May-2020,1561.8,1580.0,1615.0,1572.3, 1575.00,1576.8,1592.89,30670404,488545.66,576001, 11723342, 38.22
RELIANCE, EQ, 06-Jan-2020,1537.15,1520.0,1527.9,1498.0, 1499.90,1501.5,1512.57,11209343,169549.37,225138, 6398638, 57.08
RELIANCE, EQ, 06-Nov-2020,1955.0,1990.0,2040.0,1978.15, 2025.00,2029.15,2015.72,30770080,620238.8,649196, 8468704, 27.52
RELIANCE, EQ, 21-Sep-2020,2305.7,2300.0,2336.0,2247.35, 2250.00,2255.85,2291.38,15519433,355609.77,342489, 5046850, 32.52
RELIANCE, EQ, 02-Jun-2020,1520.35,1526.0,1540.0,1520.8,1537.95,1535.7,1531.68,10224102,156600.45,224472, 3522633, 34.45
RELIANCE, EQ, 30-Apr-2020,1426.95,1453.95,1494.95,1438.05,1464.0,1466.0,1467.88,32617901,478792.56,663204, 9287707, 28.47
RELIANCE, EQ, 15-Dec-2020,1991.3,1989.7,1989.7,1961.1,1973.6,1974.35,1973.54,8561406,168962.74,240918, 3108604, 36.31
RELIANCE, EQ, 27-Oct-2020,2029.1,2034.9,2059.85,2005.0, 2034.40,2034.5,2026.38,16835011,341140.89,462764, 5199796, 30.89
RELIANCE, EQ, 12-Sep-2022,2569.3,2570.55,2612.0,2570.55, 2597.60,2598.05,2596.44,3431445,89095.27,123802, 1612795, 47.00
RELIANCE, EQ, 06-Oct-2021,2609.2,2619.95,2619.95,2551.1, 2554.00,2559.85,2585.47,4734472,122408.33,175209, 2432010, 51.37
RELIANCE, EQ, 23-Jun-2021,2225.75,2250.0,2250.6,2201.7, 2208.15,2205.35,2217.44,7685796,170427.62,214835, 3994464, 51.97
RELIANCE, EQ, 19-Nov-2020,1987.2,1987.2,2010.45,1968.2, 1972.00,1973.15,1987.24,12828008,254922.81,307890, 3570924, 27.84
RELIANCE, EQ, 27-Nov-2019,1560.25,1559.95,1575.5,1556.1, 1575.10,1569.85,1564.27,4408336,68958.3,107469, 1986795, 45.07
RELIANCE, EQ, 05-Apr-2021,2021.85,2024.95,2025.0,1962.1,1992.0,1992.6,1986.24,6864856,136352.37,246459, 2208186, 32.17
RELIANCE, EQ, 12-Oct-2021,2652.65,2645.0,2683.0,2641.25, 2668.00,2667.8,2661.5,3083747,82074.03,145888, 1584484, 51.38
RELIANCE, EQ, 08-Apr-2022,2572.85,2560.0,2625.0,2560.0, 2617.95,2615.65,2602.86,6992874,182014.45,213226, 4458242, 63.75
RELIANCE, EQ, 28-Jul-2020,2156.2,2156.2,2194.0,2150.65,2177.0,2177.7,2175.67,25435618,553395.8,528044, 5577191, 21.93
RELIANCE, EQ, 20-Dec-2021,2340.45,2317.85,2317.85,2247.1,2276.8,2277.35,2277.67,6611376,150585.13,331211, 3744186, 56.63
RELIANCE, EQ, 06-Sep-2022,2569.8,2573.0,2606.0,2572.0, 2594.00,2596.85,2592.68,5030172,130416.46,174426, 2588620, 51.46
RELIANCE, EQ, 14-Aug-2020,2122.05,2122.55,2157.0,2089.25, 2112.00,2113.8,2129.96,15333759,326602.68,346390, 2362119, 15.40
RELIANCE, EQ, 01-Dec-2020,1929.8,1940.35,1966.25,1930.05,1954.1,1954.9,1950.09,9114939,177749.77,272346, 3073957, 33.72
